trade_date,industry,wp,rp,wb,rb
20180214,汽车,0.06,-0.049782298822215,0.030528323329830038,-0.042200473182231336
20180214,电子,0.32,-0.058869903509675116,0.03953720361052372,-0.02187399644717847
20180214,电气设备,0.0,0.0,0.019452578834818456,-0.0730271452276398
20180214,纺织服装,0.0,0.0,0.0030203489717274923,-0.09341237779797198
20180214,综合,0.0,0.0,0.004658264516632372,-0.12138524546392014
20180214,计算机,0.1,-0.09791497131706389,0.01858784453688291,-0.05087428086808595
20180214,轻工制造,0.0,0.0,0.004107175260103721,-0.04670304820066804
20180214,通信,0.04,-0.11690160986638488,0.013425601751346094,-0.07452877647447641
20180214,采掘,0.0,0.0,0.07041381809362046,-0.1000088445878298
20180214,钢铁,0.0,0.0,0.016167413169129844,-0.00890155438454103
